Date,Revenues,Tax Revenues,BIR,BOC,Other Offices,Non-tax Revenues,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Expenditures,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements
1/1/1986,6540,5993,4146,1791,56,547,111,431,0,0,0,5,0,0,0,0,9667,260,915,0,140,9,611,7732
2/1/1986,3565,3156,2231,849,76,409,145,249,0,0,0,15,0,0,0,0,6781,171,1376,0,12,2,707,4513
3/1/1986,5575,5293,3351,1805,137,282,149,133,0,0,0,0,0,0,0,0,9337,284,3753,0,19,452,1692,3137
4/1/1986,8725,8163,6483,1578,102,562,84,468,0,0,0,10,0,0,0,0,7548,298,1781,0,0,0,2357,3112
5/1/1986,5265,4828,3384,1333,111,437,33,395,0,0,0,9,0,0,0,0,6366,262,1307,0,9,200,1733,2855
6/1/1986,8915,4343,2834,1402,107,4572,192,269,0,0,0,7,4104,0,0,0,9227,267,1292,0,0,3500,1481,2687
7/1/1986,7375,6614,5050,1428,136,761,354,398,0,0,0,9,0,0,0,0,7744,226,1034,0,21,9,2891,3563
8/1/1986,5268,4677,3207,1360,110,591,32,559,0,0,0,0,0,0,0,0,6665,375,1231,0,10,3500,-2225,3774
9/1/1986,7376,4178,2697,1379,102,3198,186,962,0,0,0,4,2046,0,0,0,8084,312,1392,0,60,242,1905,4173
10/1/1986,7687,7012,5322,1553,137,675,132,536,0,0,0,7,0,0,0,0,10520,316,1663,0,23,205,3093,5220
11/1/1986,5610,5230,3918,1241,71,380,53,327,0,0,0,0,0,0,0,0,11116,223,1889,0,464,14,3216,5310
12/1/1986,7344,6004,4181,1777,46,1340,491,454,0,0,0,133,0,262,0,0,17442,580,3979,0,962,4204,-2313,10030
1/1/1987,8097,7310,5743,1467,100,787,235,516,0,0,20,16,0,0,0,0,9679,155,1731,0,0,0,846,6947
2/1/1987,5521,4995,2969,1925,101,526,188,329,0,0,7,2,0,0,0,0,6662,172,2970,0,0,3,-194,3711
3/1/1987,7582,6066,3771,2174,121,1516,243,1040,0,0,73,160,0,0,0,0,12212,444,4725,0,47,708,754,5534
4/1/1987,10930,9737,7524,2080,133,1193,567,165,0,0,1,88,0,372,0,0,10926,185,3339,0,487,0,915,6000
5/1/1987,6282,5814,4074,1638,102,468,134,323,0,0,7,4,0,0,0,0,10515,260,2818,0,14,45,606,6772
6/1/1987,9978,7673,5184,2340,149,2305,246,312,0,0,7,205,1535,0,0,0,9131,290,3472,507,0,289,526,4047
7/1/1987,9747,8902,6334,2429,139,845,322,500,0,0,22,1,0,0,0,0,11544,859,3037,0,0,33,1274,6341
8/1/1987,7751,7176,4980,2062,134,575,146,307,0,0,95,0,27,0,0,0,8731,8,2842,0,151,199,574,4957
9/1/1987,7807,6165,3498,2549,118,1642,452,547,0,0,493,128,0,22,0,0,9221,587,3090,0,13,0,693,4838
10/1/1987,11475,8345,5840,2392,113,3130,658,357,0,0,308,253,1554,0,0,0,9778,300,2635,0,418,4,1124,5297
11/1/1987,6649,5515,3437,1998,80,1134,310,371,0,0,94,354,0,5,0,0,10128,297,2954,0,189,740,717,5231
12/1/1987,11395,8225,5246,2938,41,3170,2251,601,0,0,126,182,0,10,0,0,11380,747,3292,542,517,2393,-758,4647
1/1/1988,9208,7685,6005,1590,90,1523,504,510,0,0,0,287,58,0,164,0,10725,326,3295,0,0,0,856,6248
2/1/1988,7496,6083,3961,1990,132,1413,42,511,0,0,0,246,0,0,614,0,9123,321,3500,398,23,0,672,4209
3/1/1988,7265,5971,3558,2263,150,1294,514,211,0,0,0,30,36,0,503,0,12284,643,5005,0,16,0,812,5808
4/1/1988,12668,10671,8629,1890,152,1997,1085,704,0,0,0,124,0,0,84,0,9698,322,3852,0,50,77,188,5209
5/1/1988,9373,7818,5659,2014,145,1555,507,697,0,0,0,97,0,0,254,0,10314,320,4190,0,135,165,453,5051
6/1/1988,8323,6060,3808,2054,198,2263,670,402,0,0,0,166,50,0,975,0,11165,211,4169,0,219,1,456,6109
7/1/1988,10011,8470,6344,1992,134,1541,486,528,0,0,0,99,0,0,428,0,9775,711,3496,0,178,0,468,4922
8/1/1988,9184,7849,5644,2089,116,1335,671,522,0,0,0,57,0,0,85,0,12900,356,3884,0,41,523,712,7384
9/1/1988,8153,5955,3645,2201,109,2198,1152,151,0,0,0,49,0,0,846,0,11338,400,3323,0,217,221,274,6903
10/1/1988,10007,8276,6099,2017,160,1731,1104,150,0,0,0,41,0,0,436,0,10126,356,3533,0,160,193,375,5509
11/1/1988,10736,7930,5524,2306,100,2806,1047,473,0,0,0,334,51,0,901,0,10751,356,2342,0,166,206,665,7016
12/1/1988,10437,7584,4845,2608,131,2853,1429,463,0,0,0,245,0,0,716,0,17868,38,5276,598,827,437,-516,11208
